avg_rating,board_game_rank,game_sub_url,geek_rating,num_voters,title
"
			5381		",BattleLore (Second Edition)
"
			7.62		","<a name=""111""></a>",/boardgame/146508/time-stories,"
			7.438		","
			22154		",T.I.M.E Stories
"
			7.17		","<a name=""712""></a>",/boardgame/72225/co,"
			6.686		","
			3606		",CO₂
"
			7.69		","<a name=""412""></a>",/boardgame/73171/earth-reborn,"
			6.959		","
			3171		",Earth Reborn
"
			7.04		","<a name=""612""></a>",/boardgame/21882/blue-moon-city,"
			6.773		","
			7464		",Blue Moon City
"
			7.44		","<a name=""312""></a>",/boardgame/105134/risk-legacy,"
			7.069		","
			7219		",Risk Legacy
"
			7.25		","<a name=""511""></a>",/boardgame/155624/specter-ops,"
			6.860		","
			5337		",Specter Ops
"
			6.30		","<a name=""2601""></a>",/boardgame/60131/ugg-tect,"
			5.942		","
			1784		",Ugg-Tect
"
			7.20		","<a name=""2403""></a>",/boardgame/222219/kero,"
			5.982		","
			608		",Kero
"
			7.67		","<a name=""2502""></a>",/boardgame/33003/caucasus-campaign,"
			5.964		","
			408		",The Caucasus Campaign
"
			6.55		","<a name=""1802""></a>",/boardgame/15318/palazzo,"
			6.147		","
			2366		",Palazzo
"
			6.82		","<a name=""1310""></a>",/boardgame/233678/indian-summer,"
			6.328		","
			2573		",Indian Summer
"
			7.74		","<a name=""2304""></a>",/boardgame/125977/cataclysm-second-world-war,"
			6.006		","
			496		",Cataclysm: A Second World War
"
			6.88		","<a name=""2007""></a>",/boardgame/245045/deckscape-heist-venice,"
			6.079		","
			1021		",Deckscape: Heist in Venice
"
			6.52		","<a name=""2205""></a>",/boardgame/38548/fast-flowing-forest-fellers,"
			6.029		","
			1541		",Fast Flowing Forest Fellers
"
			6.85		","<a name=""1708""></a>",/boardgame/153318/dimension,"
			6.177		","
			1473		",Dimension
"
			6.46		","<a name=""2106""></a>",/boardgame/4249/trias,"
			6.052		","
			1967		",Trias
"
			7.10		","<a name=""811""></a>",/boardgame/130176/tales-games-hare-tortoise,"
			6.615		","
			3453		",Tales & Games: The Hare & the Tortoise
"
			8.70		","<a name=""1908""></a>",/boardgame/68820/enemy-action-ardennes,"
			6.112		","
			389		",Enemy Action: Ardennes
"
			7.99		","<a name=""1510""></a>",/boardgame/162388/battlecon-fate-indines,"
			6.247		","
			652		",BattleCON: Fate of Indines
"
			8.13		","<a name=""14""></a>",/boardgame/84876/castles-burgundy,"
			8.012		","
			42589		",The Castles of Burgundy
"
			7.10		","<a name=""1410""></a>",/boardgame/230305/unlock-tonipals-treasure,"
			6.284		","
			1380		",Unlock!: The Tonipal's Treasure
"
			7.29		","<a name=""910""></a>",/boardgame/164338/golden-ages,"
			6.545		","
			2052		",The Golden Ages
"
			7.05		","<a name=""1010""></a>",/boardgame/39684/merkator,"
			6.481		","
			2472		",Merkator
"
